re1,re2,orthogonality
GsaI,EcoT22I,1
GsaI,SdaI,1
GsaI,PstI,1
GsaI,AflII,4
AgeI,EcoRI,1
AgeI,BauI,1
AgeI,TaiI,4
AgeI,AatII,4
AgeI,HindIII,1
AgeI,SacI,4
AgeI,PvuI,4
AgeI,BstKTI,4
AgeI,RgaI,4
AgeI,PacI,4
AgeI,PciI,1
AgeI,NcoI,1
AgeI,BspHI,1
AgeI,NlaIII,4
AgeI,SphI,4
AgeI,BseYI,1
AgeI,GsaI,4
AgeI,AgeI,0
AgeI,XmaI,0
AgeI,MreI,0
AgeI,KroI,0
AgeI,BspEI,0
AgeI,FseI,4
AgeI,AclI,4
AgeI,HpySE526I,4
AgeI,BspDI,4
AgeI,AciI,4
AgeI,HpaII,4
AgeI,Hin6I,4
AgeI,NarI,4
AgeI,TaqI,4
AgeI,BstBI,4
AgeI,HhaI,4
AgeI,MluI,1
AgeI,MauBI,1
AgeI,BssHII,1
AgeI,AscI,1
AgeI,SpeI,1
AgeI,AvrII,1
AgeI,NheI,1
AgeI,XbaI,1
AgeI,BspOI,4
AgeI,BglII,1
AgeI,BamHI,1
AgeI,BclI,1
AgeI,SacII,4
AgeI,SspDI,1
AgeI,BseX3I,1
AgeI,NotI,1
AgeI,PspOMI,1
AgeI,ApaI,4
AgeI,BsiWI,1
AgeI,Asp718I,1
AgeI,BsrGI,1
AgeI,KpnI,4
AgeI,PshBI,4
AgeI,NdeI,4
AgeI,BfaI,4
AgeI,Csp6I,4
AgeI,MseI,4
AgeI,BbvCI,4
AgeI,AbsI,1
AgeI,SgrDI,1
AgeI,XhoI,1
AgeI,SalI,1
AgeI,ApaLI,1
AgeI,EcoT22I,4
AgeI,SdaI,4
AgeI,PstI,4
AgeI,AflII,1
XmaI,EcoRI,1
XmaI,BauI,1
XmaI,TaiI,4
XmaI,AatII,4
XmaI,HindIII,1
XmaI,SacI,4
XmaI,PvuI,4
XmaI,BstKTI,4
XmaI,RgaI,4
XmaI,PacI,4
XmaI,PciI,1
XmaI,NcoI,1
XmaI,BspHI,1
XmaI,NlaIII,4
XmaI,SphI,4
XmaI,BseYI,1
XmaI,GsaI,4
XmaI,AgeI,0
XmaI,XmaI,0
XmaI,MreI,0
XmaI,KroI,0
XmaI,BspEI,0
XmaI,FseI,4
XmaI,AclI,4
XmaI,HpySE526I,4
XmaI,BspDI,4
XmaI,AciI,4
XmaI,HpaII,4
XmaI,Hin6I,4
XmaI,NarI,4
XmaI,TaqI,4
XmaI,BstBI,4
XmaI,HhaI,4
XmaI,MluI,1
XmaI,MauBI,1
XmaI,BssHII,1
XmaI,AscI,1
XmaI,SpeI,1
XmaI,AvrII,1
XmaI,NheI,1
XmaI,XbaI,1
XmaI,BspOI,4
XmaI,BglII,1
XmaI,BamHI,1
XmaI,BclI,1
XmaI,SacII,4
XmaI,SspDI,1
XmaI,BseX3I,1
XmaI,NotI,1
XmaI,PspOMI,1
XmaI,ApaI,4
XmaI,BsiWI,1
XmaI,Asp718I,1
XmaI,BsrGI,1
XmaI,KpnI,4
XmaI,PshBI,4
XmaI,NdeI,4
XmaI,BfaI,4
XmaI,Csp6I,4
XmaI,MseI,4
XmaI,BbvCI,4
XmaI,AbsI,1
XmaI,SgrDI,1
XmaI,XhoI,1
XmaI,SalI,1
XmaI,ApaLI,1
XmaI,EcoT22I,4
XmaI,SdaI,4
XmaI,PstI,4
XmaI,AflII,1
MreI,EcoRI,1
MreI,BauI,1
MreI,TaiI,4
MreI,AatII,4
MreI,HindIII,1
MreI,SacI,4
MreI,PvuI,4
MreI,BstKTI,4
MreI,RgaI,4
MreI,PacI,4
MreI,PciI,1
MreI,NcoI,1
MreI,BspHI,1
MreI,NlaIII,4
MreI,SphI,4
MreI,BseYI,1
MreI,GsaI,4
MreI,AgeI,0
MreI,XmaI,0
MreI,MreI,0
MreI,KroI,0
MreI,BspEI,0
MreI,FseI,4
MreI,AclI,4
MreI,HpySE526I,4
MreI,BspDI,4
MreI,AciI,4
MreI,HpaII,4
MreI,Hin6I,4
MreI,NarI,4
MreI,TaqI,4
MreI,BstBI,4
MreI,HhaI,4
MreI,MluI,1
MreI,MauBI,1
MreI,BssHII,1
MreI,AscI,1
MreI,SpeI,1
MreI,AvrII,1
MreI,NheI,1
MreI,XbaI,1
MreI,BspOI,4
MreI,BglII,1
MreI,BamHI,1
MreI,BclI,1
MreI,SacII,4
MreI,SspDI,1
MreI,BseX3I,1
MreI,NotI,1
MreI,PspOMI,1
MreI,ApaI,4
MreI,BsiWI,1
MreI,Asp718I,1
MreI,BsrGI,1
MreI,KpnI,4
MreI,PshBI,4
MreI,NdeI,4
MreI,BfaI,4
MreI,Csp6I,4
MreI,MseI,4
MreI,BbvCI,4
MreI,AbsI,1
MreI,SgrDI,1
MreI,XhoI,1
MreI,SalI,1
MreI,ApaLI,1
MreI,EcoT22I,4
MreI,SdaI,4
MreI,PstI,4
MreI,AflII,1
KroI,EcoRI,1
KroI,BauI,1
KroI,TaiI,4
KroI,AatII,4
KroI,HindIII,1
KroI,SacI,4
KroI,PvuI,4
KroI,BstKTI,4
KroI,RgaI,4
KroI,PacI,4
KroI,PciI,1
KroI,NcoI,1
KroI,BspHI,1
KroI,NlaIII,4
KroI,SphI,4
KroI,BseYI,1
KroI,GsaI,4
KroI,AgeI,0
KroI,XmaI,0
KroI,MreI,0
KroI,KroI,0
KroI,BspEI,0
KroI,FseI,4
KroI,AclI,4
KroI,HpySE526I,4
KroI,BspDI,4
KroI,AciI,4
KroI,HpaII,4
KroI,Hin6I,4
KroI,NarI,4
KroI,TaqI,4
KroI,BstBI,4
KroI,HhaI,4
KroI,MluI,1
KroI,MauBI,1
KroI,BssHII,1
KroI,AscI,1
KroI,SpeI,1
KroI,AvrII,1
KroI,NheI,1
KroI,XbaI,1
KroI,BspOI,4
KroI,BglII,1
KroI,BamHI,1
KroI,BclI,1
KroI,SacII,4
KroI,SspDI,1
KroI,BseX3I,1
KroI,NotI,1
KroI,PspOMI,1
KroI,ApaI,4
KroI,BsiWI,1
KroI,Asp718I,1
KroI,BsrGI,1
KroI,KpnI,4
KroI,PshBI,4
KroI,NdeI,4
KroI,BfaI,4
KroI,Csp6I,4
KroI,MseI,4
KroI,BbvCI,4
KroI,AbsI,1
KroI,SgrDI,1
KroI,XhoI,1
KroI,SalI,1
KroI,ApaLI,1
KroI,EcoT22I,4
KroI,SdaI,4
KroI,PstI,4
KroI,AflII,1
BspEI,EcoRI,1
BspEI,BauI,1
BspEI,TaiI,4
BspEI,AatII,4
BspEI,HindIII,1
BspEI,SacI,4
BspEI,PvuI,4
BspEI,BstKTI,4
BspEI,RgaI,4
BspEI,PacI,4
BspEI,PciI,1
BspEI,NcoI,1
BspEI,BspHI,1
BspEI,NlaIII,4
BspEI,SphI,4
BspEI,BseYI,1
BspEI,GsaI,4
BspEI,AgeI,0
BspEI,XmaI,0
BspEI,MreI,0
BspEI,KroI,0
BspEI,BspEI,0
BspEI,FseI,4
BspEI,AclI,4
BspEI,HpySE526I,4
BspEI,BspDI,4
BspEI,AciI,4
BspEI,HpaII,4
BspEI,Hin6I,4
BspEI,NarI,4
BspEI,TaqI,4
BspEI,BstBI,4
BspEI,HhaI,4
BspEI,MluI,1
BspEI,MauBI,1
BspEI,BssHII,1
BspEI,AscI,1
BspEI,SpeI,1
BspEI,AvrII,1
BspEI,NheI,1
BspEI,XbaI,1
BspEI,BspOI,4
BspEI,BglII,1
BspEI,BamHI,1
BspEI,BclI,1
BspEI,SacII,4
BspEI,SspDI,1
BspEI,BseX3I,1
BspEI,NotI,1
BspEI,PspOMI,1
BspEI,ApaI,4
BspEI,BsiWI,1
BspEI,Asp718I,1
BspEI,BsrGI,1
BspEI,KpnI,4
BspEI,PshBI,4
BspEI,NdeI,4
BspEI,BfaI,4
BspEI,Csp6I,4
BspEI,MseI,4
BspEI,BbvCI,4
BspEI,AbsI,1
BspEI,SgrDI,1
BspEI,XhoI,1
BspEI,SalI,1
BspEI,ApaLI,1
BspEI,EcoT22I,4
BspEI,SdaI,4
BspEI,PstI,4
BspEI,AflII,1
FseI,EcoRI,4
FseI,BauI,4
FseI,TaiI,1
FseI,AatII,1
FseI,HindIII,4
FseI,SacI,1
FseI,PvuI,4
FseI,BstKTI,4
FseI,RgaI,4
FseI,PacI,4
FseI,PciI,4
FseI,NcoI,4
FseI,BspHI,4
FseI,NlaIII,1
FseI,SphI,1
FseI,BseYI,4
FseI,GsaI,1
FseI,AgeI,4
FseI,XmaI,4
FseI,MreI,4
FseI,KroI,4
FseI,BspEI,4
FseI,FseI,0
FseI,AclI,4
FseI,HpySE526I,4
FseI,BspDI,4
FseI,AciI,4
FseI,HpaII,4
FseI,Hin6I,4
FseI,NarI,4
FseI,TaqI,4
FseI,BstBI,4
FseI,HhaI,4
FseI,MluI,4
FseI,MauBI,4
FseI,BssHII,4
FseI,AscI,4
FseI,SpeI,4
FseI,AvrII,4
FseI,NheI,4
FseI,XbaI,4
FseI,BspOI,1
FseI,BglII,4
FseI,BamHI,4
FseI,BclI,4
FseI,SacII,4
FseI,SspDI,4
FseI,BseX3I,4
FseI,NotI,4
FseI,PspOMI,4
FseI,ApaI,1
FseI,BsiWI,4
FseI,Asp718I,4
FseI,BsrGI,4
FseI,KpnI,1
FseI,PshBI,4
FseI,NdeI,4
FseI,BfaI,4
FseI,Csp6I,4
FseI,MseI,4
FseI,BbvCI,4
FseI,AbsI,4
FseI,SgrDI,4
FseI,XhoI,4
FseI,SalI,4
FseI,ApaLI,4
FseI,EcoT22I,1
FseI,SdaI,1
FseI,PstI,1
FseI,AflII,4
AclI,EcoRI,4
AclI,BauI,4
AclI,TaiI,4
AclI,AatII,4
AclI,HindIII,4
AclI,SacI,4
AclI,PvuI,4
AclI,BstKTI,4
AclI,RgaI,4
AclI,PacI,4
AclI,PciI,4
AclI,NcoI,4
AclI,BspHI,4
AclI,NlaIII,4
AclI,SphI,4
AclI,BseYI,4
AclI,GsaI,4
AclI,AgeI,4
AclI,XmaI,4
AclI,MreI,4
AclI,KroI,4
AclI,BspEI,4
AclI,FseI,4
AclI,AclI,0
AclI,HpySE526I,0
AclI,BspDI,0
AclI,AciI,0
AclI,HpaII,0
AclI,Hin6I,0
AclI,NarI,0
AclI,TaqI,0
AclI,BstBI,0
AclI,HhaI,4
AclI,MluI,4
AclI,MauBI,4
AclI,BssHII,4
AclI,AscI,4
AclI,SpeI,4
AclI,AvrII,4
AclI,NheI,4
AclI,XbaI,4
AclI,BspOI,4
AclI,BglII,4
AclI,BamHI,4
AclI,BclI,4
AclI,SacII,4
AclI,SspDI,4
AclI,BseX3I,4
AclI,NotI,4
AclI,PspOMI,4
AclI,ApaI,4
AclI,BsiWI,4
AclI,Asp718I,4
AclI,BsrGI,4
AclI,KpnI,4
AclI,PshBI,1
AclI,NdeI,1
AclI,BfaI,1
AclI,Csp6I,1
AclI,MseI,1
AclI,BbvCI,4
AclI,AbsI,4
AclI,SgrDI,4
AclI,XhoI,4
AclI,SalI,4
AclI,ApaLI,4
AclI,EcoT22I,4
AclI,SdaI,4
AclI,PstI,4
AclI,AflII,4
HpySE526I,EcoRI,4
HpySE526I,BauI,4
HpySE526I,TaiI,4
HpySE526I,AatII,4
HpySE526I,HindIII,4
HpySE526I,SacI,4
HpySE526I,PvuI,4
HpySE526I,BstKTI,4
HpySE526I,RgaI,4
HpySE526I,PacI,4
HpySE526I,PciI,4
HpySE526I,NcoI,4
HpySE526I,BspHI,4
HpySE526I,NlaIII,4
HpySE526I,SphI,4
HpySE526I,BseYI,4
HpySE526I,GsaI,4
HpySE526I,AgeI,4
HpySE526I,XmaI,4
HpySE526I,MreI,4
HpySE526I,KroI,4
HpySE526I,BspEI,4
HpySE526I,FseI,4
HpySE526I,AclI,0
HpySE526I,HpySE526I,0
HpySE526I,BspDI,0
HpySE526I,AciI,0
HpySE526I,HpaII,0
HpySE526I,Hin6I,0
HpySE526I,NarI,0
HpySE526I,TaqI,0
HpySE526I,BstBI,0
HpySE526I,HhaI,4
HpySE526I,MluI,4
HpySE526I,MauBI,4
HpySE526I,BssHII,4
HpySE526I,AscI,4
HpySE526I,SpeI,4
HpySE526I,AvrII,4
HpySE526I,NheI,4
HpySE526I,XbaI,4
HpySE526I,BspOI,4
HpySE526I,BglII,4
HpySE526I,BamHI,4
HpySE526I,BclI,4
HpySE526I,SacII,4
HpySE526I,SspDI,4
HpySE526I,BseX3I,4
HpySE526I,NotI,4
HpySE526I,PspOMI,4
HpySE526I,ApaI,4
HpySE526I,BsiWI,4
HpySE526I,Asp718I,4
HpySE526I,BsrGI,4
HpySE526I,KpnI,4
HpySE526I,PshBI,1
HpySE526I,NdeI,1
HpySE526I,BfaI,1
HpySE526I,Csp6I,1
HpySE526I,MseI,1
HpySE526I,BbvCI,4
HpySE526I,AbsI,4
HpySE526I,SgrDI,4
HpySE526I,XhoI,4
HpySE526I,SalI,4
HpySE526I,ApaLI,4
HpySE526I,EcoT22I,4
HpySE526I,SdaI,4
HpySE526I,PstI,4
HpySE526I,AflII,4
BspDI,EcoRI,4
BspDI,BauI,4
BspDI,TaiI,4
BspDI,AatII,4
BspDI,HindIII,4
BspDI,SacI,4
BspDI,PvuI,4
BspDI,BstKTI,4
BspDI,RgaI,4
BspDI,PacI,4
BspDI,PciI,4
BspDI,NcoI,4
BspDI,BspHI,4
BspDI,NlaIII,4
BspDI,SphI,4
BspDI,BseYI,4
BspDI,GsaI,4
BspDI,AgeI,4
BspDI,XmaI,4
BspDI,MreI,4
BspDI,KroI,4
BspDI,BspEI,4
BspDI,FseI,4
BspDI,AclI,0
BspDI,HpySE526I,0
BspDI,BspDI,0
BspDI,AciI,0
BspDI,HpaII,0
BspDI,Hin6I,0
BspDI,NarI,0
BspDI,TaqI,0
BspDI,BstBI,0
BspDI,HhaI,4
BspDI,MluI,4
BspDI,MauBI,4
BspDI,BssHII,4
BspDI,AscI,4
BspDI,SpeI,4
BspDI,AvrII,4
BspDI,NheI,4
BspDI,XbaI,4
BspDI,BspOI,4
BspDI,BglII,4
BspDI,BamHI,4
BspDI,BclI,4
BspDI,SacII,4
BspDI,SspDI,4
BspDI,BseX3I,4
BspDI,NotI,4
BspDI,PspOMI,4
BspDI,ApaI,4
BspDI,BsiWI,4
BspDI,Asp718I,4
BspDI,BsrGI,4
BspDI,KpnI,4
BspDI,PshBI,1
BspDI,NdeI,1
BspDI,BfaI,1
BspDI,Csp6I,1
BspDI,MseI,1
BspDI,BbvCI,4
BspDI,AbsI,4
BspDI,SgrDI,4
BspDI,XhoI,4
BspDI,SalI,4
BspDI,ApaLI,4
BspDI,EcoT22I,4
BspDI,SdaI,4
BspDI,PstI,4
BspDI,AflII,4
AciI,EcoRI,4
AciI,BauI,4
AciI,TaiI,4
AciI,AatII,4
AciI,HindIII,4
AciI,SacI,4
AciI,PvuI,4
AciI,BstKTI,4
AciI,RgaI,4
AciI,PacI,4
AciI,PciI,4
AciI,NcoI,4
AciI,BspHI,4
AciI,NlaIII,4
AciI,SphI,4
AciI,BseYI,4
AciI,GsaI,4
AciI,AgeI,4
AciI,XmaI,4
AciI,MreI,4
AciI,KroI,4
AciI,BspEI,4
AciI,FseI,4
AciI,AclI,0
AciI,HpySE526I,0
AciI,BspDI,0
AciI,AciI,0
AciI,HpaII,0
AciI,Hin6I,0
AciI,NarI,0
AciI,TaqI,0
AciI,BstBI,0
AciI,HhaI,4
AciI,MluI,4
AciI,MauBI,4
AciI,BssHII,4
AciI,AscI,4
AciI,SpeI,4
AciI,AvrII,4
AciI,NheI,4
AciI,XbaI,4
AciI,BspOI,4
AciI,BglII,4
AciI,BamHI,4
AciI,BclI,4
AciI,SacII,4
AciI,SspDI,4
AciI,BseX3I,4
AciI,NotI,4
AciI,PspOMI,4
AciI,ApaI,4
AciI,BsiWI,4
AciI,Asp718I,4
AciI,BsrGI,4
AciI,KpnI,4
AciI,PshBI,1
AciI,NdeI,1
AciI,BfaI,1
AciI,Csp6I,1
AciI,MseI,1
AciI,BbvCI,4
AciI,AbsI,4
AciI,SgrDI,4
AciI,XhoI,4
AciI,SalI,4
AciI,ApaLI,4
AciI,EcoT22I,4
AciI,SdaI,4
AciI,PstI,4
AciI,AflII,4
HpaII,EcoRI,4
HpaII,BauI,4
HpaII,TaiI,4
HpaII,AatII,4
HpaII,HindIII,4
HpaII,SacI,4
HpaII,PvuI,4
HpaII,BstKTI,4
HpaII,RgaI,4
HpaII,PacI,4
HpaII,PciI,4
HpaII,NcoI,4
HpaII,BspHI,4
HpaII,NlaIII,4
HpaII,SphI,4
HpaII,BseYI,4
HpaII,GsaI,4
HpaII,AgeI,4
HpaII,XmaI,4
HpaII,MreI,4
HpaII,KroI,4
HpaII,BspEI,4
HpaII,FseI,4
HpaII,AclI,0
HpaII,HpySE526I,0
HpaII,BspDI,0
HpaII,AciI,0
HpaII,HpaII,0
HpaII,Hin6I,0
HpaII,NarI,0
HpaII,TaqI,0
HpaII,BstBI,0
HpaII,HhaI,4
HpaII,MluI,4
HpaII,MauBI,4
HpaII,BssHII,4
HpaII,AscI,4
HpaII,SpeI,4
HpaII,AvrII,4
HpaII,NheI,4
HpaII,XbaI,4
HpaII,BspOI,4
HpaII,BglII,4
HpaII,BamHI,4
HpaII,BclI,4
HpaII,SacII,4
HpaII,SspDI,4
HpaII,BseX3I,4
HpaII,NotI,4
HpaII,PspOMI,4
HpaII,ApaI,4
HpaII,BsiWI,4
HpaII,Asp718I,4
HpaII,BsrGI,4
HpaII,KpnI,4
HpaII,PshBI,1
HpaII,NdeI,1
HpaII,BfaI,1
HpaII,Csp6I,1
HpaII,MseI,1
HpaII,BbvCI,4
HpaII,AbsI,4
HpaII,SgrDI,4
HpaII,XhoI,4
HpaII,SalI,4
HpaII,ApaLI,4
HpaII,EcoT22I,4
HpaII,SdaI,4
HpaII,PstI,4
HpaII,AflII,4
Hin6I,EcoRI,4
Hin6I,BauI,4
Hin6I,TaiI,4
Hin6I,AatII,4
Hin6I,HindIII,4
Hin6I,SacI,4
Hin6I,PvuI,4
Hin6I,BstKTI,4
Hin6I,RgaI,4
Hin6I,PacI,4
Hin6I,PciI,4
Hin6I,NcoI,4
Hin6I,BspHI,4
Hin6I,NlaIII,4
Hin6I,SphI,4
Hin6I,BseYI,4
Hin6I,GsaI,4
Hin6I,AgeI,4
Hin6I,XmaI,4
Hin6I,MreI,4
Hin6I,KroI,4
Hin6I,BspEI,4
Hin6I,FseI,4
Hin6I,AclI,0
Hin6I,HpySE526I,0
Hin6I,BspDI,0
Hin6I,AciI,0
Hin6I,HpaII,0
Hin6I,Hin6I,0
Hin6I,NarI,0
Hin6I,TaqI,0
Hin6I,BstBI,0
Hin6I,HhaI,4
Hin6I,MluI,4
Hin6I,MauBI,4
Hin6I,BssHII,4
Hin6I,AscI,4
Hin6I,SpeI,4
Hin6I,AvrII,4
Hin6I,NheI,4
Hin6I,XbaI,4
Hin6I,BspOI,4
Hin6I,BglII,4
Hin6I,BamHI,4
Hin6I,BclI,4
Hin6I,SacII,4
Hin6I,SspDI,4
Hin6I,BseX3I,4
Hin6I,NotI,4
Hin6I,PspOMI,4
Hin6I,ApaI,4
Hin6I,BsiWI,4
Hin6I,Asp718I,4
Hin6I,BsrGI,4
Hin6I,KpnI,4
Hin6I,PshBI,1
Hin6I,NdeI,1
Hin6I,BfaI,1
Hin6I,Csp6I,1
Hin6I,MseI,1
Hin6I,BbvCI,4
Hin6I,AbsI,4
Hin6I,SgrDI,4
Hin6I,XhoI,4
Hin6I,SalI,4
Hin6I,ApaLI,4
Hin6I,EcoT22I,4
Hin6I,SdaI,4
Hin6I,PstI,4
Hin6I,AflII,4
NarI,EcoRI,4
NarI,BauI,4
NarI,TaiI,4
NarI,AatII,4
NarI,HindIII,4
NarI,SacI,4
NarI,PvuI,4
NarI,BstKTI,4
NarI,RgaI,4
NarI,PacI,4
NarI,PciI,4
NarI,NcoI,4
NarI,BspHI,4
NarI,NlaIII,4
NarI,SphI,4
NarI,BseYI,4
NarI,GsaI,4
NarI,AgeI,4
NarI,XmaI,4
NarI,MreI,4
NarI,KroI,4
NarI,BspEI,4
NarI,FseI,4
NarI,AclI,0
NarI,HpySE526I,0
NarI,BspDI,0
NarI,AciI,0
NarI,HpaII,0
NarI,Hin6I,0
NarI,NarI,0
NarI,TaqI,0
NarI,BstBI,0
NarI,HhaI,4
NarI,MluI,4
NarI,MauBI,4
NarI,BssHII,4
NarI,AscI,4
NarI,SpeI,4
NarI,AvrII,4
NarI,NheI,4
NarI,XbaI,4
NarI,BspOI,4
NarI,BglII,4
NarI,BamHI,4
NarI,BclI,4
NarI,SacII,4
NarI,SspDI,4
NarI,BseX3I,4
NarI,NotI,4
NarI,PspOMI,4
NarI,ApaI,4
NarI,BsiWI,4
NarI,Asp718I,4
NarI,BsrGI,4
NarI,KpnI,4
NarI,PshBI,1
NarI,NdeI,1
NarI,BfaI,1
NarI,Csp6I,1
NarI,MseI,1
NarI,BbvCI,4
NarI,AbsI,4
NarI,SgrDI,4
NarI,XhoI,4
NarI,SalI,4
NarI,ApaLI,4
NarI,EcoT22I,4
NarI,SdaI,4
NarI,PstI,4
NarI,AflII,4
TaqI,EcoRI,4
TaqI,BauI,4
TaqI,TaiI,4
TaqI,AatII,4
TaqI,HindIII,4
TaqI,SacI,4
TaqI,PvuI,4
TaqI,BstKTI,4
TaqI,RgaI,4
TaqI,PacI,4
TaqI,PciI,4
TaqI,NcoI,4
TaqI,BspHI,4
TaqI,NlaIII,4
TaqI,SphI,4
TaqI,BseYI,4
TaqI,GsaI,4
TaqI,AgeI,4
TaqI,XmaI,4
TaqI,MreI,4
TaqI,KroI,4
TaqI,BspEI,4
TaqI,FseI,4
TaqI,AclI,0
TaqI,HpySE526I,0
TaqI,BspDI,0
TaqI,AciI,0
TaqI,HpaII,0
TaqI,Hin6I,0
TaqI,NarI,0
TaqI,TaqI,0
TaqI,BstBI,0
TaqI,HhaI,4
TaqI,MluI,4
TaqI,MauBI,4
TaqI,BssHII,4
TaqI,AscI,4
TaqI,SpeI,4
TaqI,AvrII,4
TaqI,NheI,4
TaqI,XbaI,4
TaqI,BspOI,4
TaqI,BglII,4
TaqI,BamHI,4
TaqI,BclI,4
TaqI,SacII,4
TaqI,SspDI,4
TaqI,BseX3I,4
TaqI,NotI,4
TaqI,PspOMI,4
TaqI,ApaI,4
TaqI,BsiWI,4
TaqI,Asp718I,4
TaqI,BsrGI,4
TaqI,KpnI,4
TaqI,PshBI,1
TaqI,NdeI,1
TaqI,BfaI,1
TaqI,Csp6I,1
TaqI,MseI,1
TaqI,BbvCI,4
TaqI,AbsI,4
TaqI,SgrDI,4
TaqI,XhoI,4
TaqI,SalI,4
TaqI,ApaLI,4
TaqI,EcoT22I,4
TaqI,SdaI,4
TaqI,PstI,4
TaqI,AflII,4
BstBI,EcoRI,4
BstBI,BauI,4
BstBI,TaiI,4
BstBI,AatII,4
BstBI,HindIII,4
BstBI,SacI,4
BstBI,PvuI,4
BstBI,BstKTI,4
BstBI,RgaI,4
BstBI,PacI,4
BstBI,PciI,4
BstBI,NcoI,4
BstBI,BspHI,4
BstBI,NlaIII,4
BstBI,SphI,4
BstBI,BseYI,4
BstBI,GsaI,4
BstBI,AgeI,4
BstBI,XmaI,4
BstBI,MreI,4
BstBI,KroI,4
BstBI,BspEI,4
BstBI,FseI,4
BstBI,AclI,0
BstBI,HpySE526I,0
BstBI,BspDI,0
BstBI,AciI,0
BstBI,HpaII,0
BstBI,Hin6I,0
BstBI,NarI,0
BstBI,TaqI,0
BstBI,BstBI,0
BstBI,HhaI,4
BstBI,MluI,4
BstBI,MauBI,4
BstBI,BssHII,4
BstBI,AscI,4
BstBI,SpeI,4
BstBI,AvrII,4
BstBI,NheI,4
BstBI,XbaI,4
BstBI,BspOI,4
BstBI,BglII,4
BstBI,BamHI,4
BstBI,BclI,4
BstBI,SacII,4
BstBI,SspDI,4
BstBI,BseX3I,4
BstBI,NotI,4
BstBI,PspOMI,4
BstBI,ApaI,4
BstBI,BsiWI,4
BstBI,Asp718I,4
BstBI,BsrGI,4
BstBI,KpnI,4
BstBI,PshBI,1
BstBI,NdeI,1
BstBI,BfaI,1
BstBI,Csp6I,1
BstBI,MseI,1
BstBI,BbvCI,4
BstBI,AbsI,4
BstBI,SgrDI,4
BstBI,XhoI,4
BstBI,SalI,4
BstBI,ApaLI,4
BstBI,EcoT22I,4
BstBI,SdaI,4
BstBI,PstI,4
BstBI,AflII,4
HhaI,EcoRI,4
HhaI,BauI,4
HhaI,TaiI,4
HhaI,AatII,4
HhaI,HindIII,4
HhaI,SacI,4
HhaI,PvuI,1
HhaI,BstKTI,1
HhaI,RgaI,1
HhaI,PacI,1
HhaI,PciI,4
HhaI,NcoI,4
HhaI,BspHI,4
HhaI,NlaIII,4
HhaI,SphI,4
HhaI,BseYI,4
HhaI,GsaI,4
HhaI,AgeI,4
HhaI,XmaI,4
HhaI,MreI,4
HhaI,KroI,4
HhaI,BspEI,4
HhaI,FseI,4
HhaI,AclI,4
HhaI,HpySE526I,4
HhaI,BspDI,4
HhaI,AciI,4
HhaI,HpaII,4
HhaI,Hin6I,4
HhaI,NarI,4
HhaI,TaqI,4
HhaI,BstBI,4
HhaI,HhaI,0
HhaI,MluI,4
HhaI,MauBI,4
HhaI,BssHII,4
HhaI,AscI,4
HhaI,SpeI,4
HhaI,AvrII,4
HhaI,NheI,4
HhaI,XbaI,4
HhaI,BspOI,4
HhaI,BglII,4
HhaI,BamHI,4
HhaI,BclI,4
HhaI,SacII,1
HhaI,SspDI,4
HhaI,BseX3I,4
HhaI,NotI,4
HhaI,PspOMI,4
HhaI,ApaI,4
HhaI,BsiWI,4
HhaI,Asp718I,4
HhaI,BsrGI,4
HhaI,KpnI,4
HhaI,PshBI,4
HhaI,NdeI,4
HhaI,BfaI,4
HhaI,Csp6I,4
HhaI,MseI,4
HhaI,BbvCI,4
HhaI,AbsI,4
HhaI,SgrDI,4
HhaI,XhoI,4
HhaI,SalI,4
HhaI,ApaLI,4
HhaI,EcoT22I,4
HhaI,SdaI,4
HhaI,PstI,4
HhaI,AflII,4
MluI,EcoRI,1
MluI,BauI,1
MluI,TaiI,4
MluI,AatII,4
MluI,HindIII,1
MluI,SacI,4
MluI,PvuI,4
MluI,BstKTI,4
MluI,RgaI,4
MluI,PacI,4
MluI,PciI,1
MluI,NcoI,1
MluI,BspHI,1
MluI,NlaIII,4
MluI,SphI,4
MluI,BseYI,1
MluI,GsaI,4
MluI,AgeI,1
MluI,XmaI,1
MluI,MreI,1
MluI,KroI,1
MluI,BspEI,1
MluI,FseI,4
MluI,AclI,4
MluI,HpySE526I,4
MluI,BspDI,4
MluI,AciI,4
MluI,HpaII,4
MluI,Hin6I,4
MluI,NarI,4
MluI,TaqI,4
MluI,BstBI,4
MluI,HhaI,4
MluI,MluI,0
MluI,MauBI,0
MluI,BssHII,0
MluI,AscI,0
MluI,SpeI,1
MluI,AvrII,1
MluI,NheI,1
MluI,XbaI,1
MluI,BspOI,4
MluI,BglII,1
MluI,BamHI,1
MluI,BclI,1
MluI,SacII,4
MluI,SspDI,1
MluI,BseX3I,1
MluI,NotI,1
MluI,PspOMI,1
MluI,ApaI,4
MluI,BsiWI,1
MluI,Asp718I,1
MluI,BsrGI,1
MluI,KpnI,4
MluI,PshBI,4
MluI,NdeI,4
MluI,BfaI,4
MluI,Csp6I,4
MluI,MseI,4
MluI,BbvCI,4
MluI,AbsI,1
MluI,SgrDI,1
MluI,XhoI,1
MluI,SalI,1
MluI,ApaLI,1
MluI,EcoT22I,4
MluI,SdaI,4
MluI,PstI,4
MluI,AflII,1
MauBI,EcoRI,1
MauBI,BauI,1
MauBI,TaiI,4
