re1,re2,orthogonality
AatII,AciI,4
AatII,HpaII,4
AatII,Hin6I,4
AatII,NarI,4
AatII,TaqI,4
AatII,BstBI,4
AatII,HhaI,4
AatII,MluI,4
AatII,MauBI,4
AatII,BssHII,4
AatII,AscI,4
AatII,SpeI,4
AatII,AvrII,4
AatII,NheI,4
AatII,XbaI,4
AatII,BspOI,1
AatII,BglII,4
AatII,BamHI,4
AatII,BclI,4
AatII,SacII,4
AatII,SspDI,4
AatII,BseX3I,4
AatII,NotI,4
AatII,PspOMI,4
AatII,ApaI,1
AatII,BsiWI,4
AatII,Asp718I,4
AatII,BsrGI,4
AatII,KpnI,1
AatII,PshBI,4
AatII,NdeI,4
AatII,BfaI,4
AatII,Csp6I,4
AatII,MseI,4
AatII,BbvCI,4
AatII,AbsI,4
AatII,SgrDI,4
AatII,XhoI,4
AatII,SalI,4
AatII,ApaLI,4
AatII,EcoT22I,1
AatII,SdaI,1
AatII,PstI,1
AatII,AflII,4
HindIII,EcoRI,1
HindIII,BauI,1
HindIII,TaiI,4
HindIII,AatII,4
HindIII,HindIII,0
HindIII,SacI,4
HindIII,PvuI,4
HindIII,BstKTI,4
HindIII,RgaI,4
HindIII,PacI,4
HindIII,PciI,1
HindIII,NcoI,1
HindIII,BspHI,1
HindIII,NlaIII,4
HindIII,SphI,4
HindIII,BseYI,1
HindIII,GsaI,4
HindIII,AgeI,1
HindIII,XmaI,1
HindIII,MreI,1
HindIII,KroI,1
HindIII,BspEI,1
HindIII,FseI,4
HindIII,AclI,4
HindIII,HpySE526I,4
HindIII,BspDI,4
HindIII,AciI,4
HindIII,HpaII,4
HindIII,Hin6I,4
HindIII,NarI,4
HindIII,TaqI,4
HindIII,BstBI,4
HindIII,HhaI,4
HindIII,MluI,1
HindIII,MauBI,1
HindIII,BssHII,1
HindIII,AscI,1
HindIII,SpeI,1
HindIII,AvrII,1
HindIII,NheI,1
HindIII,XbaI,1
HindIII,BspOI,4
HindIII,BglII,1
HindIII,BamHI,1
HindIII,BclI,1
HindIII,SacII,4
HindIII,SspDI,1
HindIII,BseX3I,1
HindIII,NotI,1
HindIII,PspOMI,1
HindIII,ApaI,4
HindIII,BsiWI,1
HindIII,Asp718I,1
HindIII,BsrGI,1
HindIII,KpnI,4
HindIII,PshBI,4
HindIII,NdeI,4
HindIII,BfaI,4
HindIII,Csp6I,4
HindIII,MseI,4
HindIII,BbvCI,4
HindIII,AbsI,1
HindIII,SgrDI,1
HindIII,XhoI,1
HindIII,SalI,1
HindIII,ApaLI,1
HindIII,EcoT22I,4
HindIII,SdaI,4
HindIII,PstI,4
HindIII,AflII,1
SacI,EcoRI,4
SacI,BauI,4
SacI,TaiI,1
SacI,AatII,1
SacI,HindIII,4
SacI,SacI,0
SacI,PvuI,4
SacI,BstKTI,4
SacI,RgaI,4
SacI,PacI,4
SacI,PciI,4
SacI,NcoI,4
SacI,BspHI,4
SacI,NlaIII,1
SacI,SphI,1
SacI,BseYI,4
SacI,GsaI,1
SacI,AgeI,4
SacI,XmaI,4
SacI,MreI,4
SacI,KroI,4
SacI,BspEI,4
SacI,FseI,1
SacI,AclI,4
SacI,HpySE526I,4
SacI,BspDI,4
SacI,AciI,4
SacI,HpaII,4
SacI,Hin6I,4
SacI,NarI,4
SacI,TaqI,4
SacI,BstBI,4
SacI,HhaI,4
SacI,MluI,4
SacI,MauBI,4
SacI,BssHII,4
SacI,AscI,4
SacI,SpeI,4
SacI,AvrII,4
SacI,NheI,4
SacI,XbaI,4
SacI,BspOI,1
SacI,BglII,4
SacI,BamHI,4
SacI,BclI,4
SacI,SacII,4
SacI,SspDI,4
SacI,BseX3I,4
SacI,NotI,4
SacI,PspOMI,4
SacI,ApaI,1
SacI,BsiWI,4
SacI,Asp718I,4
SacI,BsrGI,4
SacI,KpnI,1
SacI,PshBI,4
SacI,NdeI,4
SacI,BfaI,4
SacI,Csp6I,4
SacI,MseI,4
SacI,BbvCI,4
SacI,AbsI,4
SacI,SgrDI,4
SacI,XhoI,4
SacI,SalI,4
SacI,ApaLI,4
SacI,EcoT22I,1
SacI,SdaI,1
SacI,PstI,1
SacI,AflII,4
PvuI,EcoRI,4
PvuI,BauI,4
PvuI,TaiI,4
PvuI,AatII,4
PvuI,HindIII,4
PvuI,SacI,4
PvuI,PvuI,0
PvuI,BstKTI,0
PvuI,RgaI,0
PvuI,PacI,0
PvuI,PciI,4
PvuI,NcoI,4
PvuI,BspHI,4
PvuI,NlaIII,4
PvuI,SphI,4
PvuI,BseYI,4
PvuI,GsaI,4
PvuI,AgeI,4
PvuI,XmaI,4
PvuI,MreI,4
PvuI,KroI,4
PvuI,BspEI,4
PvuI,FseI,4
PvuI,AclI,4
PvuI,HpySE526I,4
PvuI,BspDI,4
PvuI,AciI,4
PvuI,HpaII,4
PvuI,Hin6I,4
PvuI,NarI,4
PvuI,TaqI,4
PvuI,BstBI,4
PvuI,HhaI,1
PvuI,MluI,4
PvuI,MauBI,4
PvuI,BssHII,4
PvuI,AscI,4
PvuI,SpeI,4
PvuI,AvrII,4
PvuI,NheI,4
PvuI,XbaI,4
PvuI,BspOI,4
PvuI,BglII,4
PvuI,BamHI,4
PvuI,BclI,4
PvuI,SacII,1
PvuI,SspDI,4
PvuI,BseX3I,4
PvuI,NotI,4
PvuI,PspOMI,4
PvuI,ApaI,4
PvuI,BsiWI,4
PvuI,Asp718I,4
PvuI,BsrGI,4
PvuI,KpnI,4
PvuI,PshBI,4
PvuI,NdeI,4
PvuI,BfaI,4
PvuI,Csp6I,4
PvuI,MseI,4
PvuI,BbvCI,4
PvuI,AbsI,4
PvuI,SgrDI,4
PvuI,XhoI,4
PvuI,SalI,4
PvuI,ApaLI,4
PvuI,EcoT22I,4
PvuI,SdaI,4
PvuI,PstI,4
PvuI,AflII,4
BstKTI,EcoRI,4
BstKTI,BauI,4
BstKTI,TaiI,4
BstKTI,AatII,4
BstKTI,HindIII,4
BstKTI,SacI,4
BstKTI,PvuI,0
BstKTI,BstKTI,0
BstKTI,RgaI,0
BstKTI,PacI,0
BstKTI,PciI,4
BstKTI,NcoI,4
BstKTI,BspHI,4
BstKTI,NlaIII,4
BstKTI,SphI,4
BstKTI,BseYI,4
BstKTI,GsaI,4
BstKTI,AgeI,4
BstKTI,XmaI,4
BstKTI,MreI,4
BstKTI,KroI,4
BstKTI,BspEI,4
BstKTI,FseI,4
BstKTI,AclI,4
BstKTI,HpySE526I,4
BstKTI,BspDI,4
BstKTI,AciI,4
BstKTI,HpaII,4
BstKTI,Hin6I,4
BstKTI,NarI,4
BstKTI,TaqI,4
BstKTI,BstBI,4
BstKTI,HhaI,1
BstKTI,MluI,4
BstKTI,MauBI,4
BstKTI,BssHII,4
BstKTI,AscI,4
BstKTI,SpeI,4
BstKTI,AvrII,4
BstKTI,NheI,4
BstKTI,XbaI,4
BstKTI,BspOI,4
BstKTI,BglII,4
BstKTI,BamHI,4
BstKTI,BclI,4
BstKTI,SacII,1
BstKTI,SspDI,4
BstKTI,BseX3I,4
BstKTI,NotI,4
BstKTI,PspOMI,4
BstKTI,ApaI,4
BstKTI,BsiWI,4
BstKTI,Asp718I,4
BstKTI,BsrGI,4
BstKTI,KpnI,4
BstKTI,PshBI,4
BstKTI,NdeI,4
BstKTI,BfaI,4
BstKTI,Csp6I,4
BstKTI,MseI,4
BstKTI,BbvCI,4
BstKTI,AbsI,4
BstKTI,SgrDI,4
BstKTI,XhoI,4
BstKTI,SalI,4
BstKTI,ApaLI,4
BstKTI,EcoT22I,4
BstKTI,SdaI,4
BstKTI,PstI,4
BstKTI,AflII,4
RgaI,EcoRI,4
RgaI,BauI,4
RgaI,TaiI,4
RgaI,AatII,4
RgaI,HindIII,4
RgaI,SacI,4
RgaI,PvuI,0
