,pGEX-4T-1,pMAL-c5X,pET-21a(+),pET-28a(+),pET-28a(+)_start_codon,pCold_I,pUC18,pQE-3
MunI,True,False,True,True,True,True,True,False
TspMI,True,True,True,False,False,True,True,True
NheI,True,True,True,False,True,False,True,False
PspFI,False,False,False,False,False,False,False,False
BsmBI,False,False,False,False,False,False,False,False
BshFI,False,False,False,False,False,False,False,False
XmaI,True,True,True,False,False,True,True,True
BspFNI,False,False,False,False,False,False,False,False
MfeI,True,False,True,True,True,True,True,False
PasI,True,True,True,True,True,True,True,False
SpeI,True,True,True,True,True,True,True,True
Ksp22I,False,False,False,False,False,False,True,True
MauBI,True,True,True,True,True,True,True,True
MreI,True,True,True,True,True,True,True,True
NarI,False,False,False,False,False,False,False,True
PalAI,True,True,True,True,True,True,True,True
PinAI,True,True,True,True,True,True,True,True
PspLI,True,False,True,True,True,True,True,True
PteI,False,False,False,False,False,False,True,True
SfuI,False,True,True,True,True,True,True,True
RpaI,True,True,False,False,False,False,True,True
AfaI,False,False,False,False,False,False,False,False
NhoI,False,False,False,False,False,False,False,False
AlfI,True,False,False,False,False,True,True,True
Asu14238IV,False,False,False,False,False,False,False,False
HbaII,False,False,False,False,False,False,False,False
Hpy188I,False,False,False,False,False,False,False,False
PpsI,False,False,False,False,False,False,False,False
BslFI,False,False,False,False,False,False,True,True
FaqI,False,False,False,False,False,False,True,True
PctI,True,False,True,False,False,False,True,False
BstV2I,False,False,False,False,False,False,True,False
LpnPI,False,False,False,False,False,False,False,False
BspTNI,False,False,False,True,True,False,False,False
CviJI,False,False,False,False,False,False,False,False
BstXI,False,False,False,False,False,False,True,True
BpuEI,False,False,False,False,False,False,False,False
Bsa29I,True,True,True,False,False,False,True,True
AvaII,False,False,False,False,False,False,False,False
FseI,True,True,True,True,True,True,True,True
HpyUM032XIII_mut1,False,False,False,False,False,False,False,False
BstENI,False,True,False,False,False,False,True,True
PscI,False,False,False,False,False,True,False,False
Acc36I,False,False,True,True,True,True,True,True
BmeDI,False,False,False,False,False,False,False,False
SauI,False,False,True,True,True,True,True,True
BtgZI,False,False,False,False,False,False,True,False
FokI,False,False,False,False,False,False,False,False
Bbr7017II,False,False,False,False,False,False,False,False
MaqI,True,False,False,False,False,True,True,True
Vha464I,True,True,True,True,True,True,True,True
