enzyme,r1.1,r2.1,r3.1,rCutSmart,heat_inac,incu_temp,notes
HhaI,25,100,100,100,65°C,37°C,
HincII,25,100,100,100,65°C,37°C,
HindIII,25,100,50,50,80°C,37°C,
HindIII,10,100,10,100,80°C,37°C,
HinfI,50,100,100,100,80°C,37°C,
HinP1I,100,100,100,100,65°C,37°C,
HpaI,<10,75*,25,100,No,37°C,1
HpaII,100,50,<10,100,80°C,37°C,
HphI,50,50,<10,100,65°C,37°C,"1, b, d"
HpyAV,100,100,25,100,65°C,37°C,"3, b, d"
HpyCH4III,100,25,<10,100,65°C,37°C,b
HpyCH4IV,100,50,25,100,65°C,37°C,
HpyCH4V,50,50,25,100,65°C,37°C,
Hpy99I,50,10,<10,100,65°C,37°C,
Hpy188I,25,100,50,100,65°C,37°C,"1, b"
Hpy166II,100,100,50,100,65°C,37°C,
Hpy188III,100,100,10,100,65°C,37°C,"3, b"
I-CeuI,10,10,10,100,65°C,37°C,
I-SceI,10,50,25,100,65°C,37°C,
KasI,50,100,50,100,65°C,37°C,3
KpnI,100,25,<10,100,No,37°C,
MboI,75,100,100,100,65°C,37°C,
MboII,100*,100,50,100,65°C,37°C,b
MfeI,75,25,<10,100,No,37°C,
MluCI,100,10,10,100,No,37°C,
MluI,25,100,100,100,No,37°C,
MlyI,50,50,10,100,65°C,37°C,"b, d"
MmeI,50,100,50,100,65°C,37°C,"b, c"
MnlI,75,100,50,100,65°C,37°C,b
MscI,25,100,100,100,80°C,37°C,
MseI,75,100,75,100,65°C,37°C,
MslI,50,50,<10,100,80°C,37°C,
MspA1I,10,50,10,100,65°C,37°C,
MspI,75,100,50,100,No,37°C,
MspJI,<10,<10,<10,100,65°C,37°C,"1, e"
MwoI,<10,100,100,100,No,60°C,
NaeI,25,25,<10,100,No,37°C,b
NarI,100,100,10,100,65°C,37°C,
Nb.BbvCI,25,100,100,100,80°C,37°C,e
Nb.BsmI,<10,50,100,10,80°C,65°C,e
Nb.BsrDI,25,100,100,100,80°C,37°C,e
Nb.BssSI,10,100,100,25,No,37°C,e
Nb.BtsI,75,100,75,100,80°C,37°C,e
NciI,100,25,10,100,No,37°C,b
NcoI,100,100,100,100+,80°C,37°C,
NcoI,50,100,10,100,80°C,37°C,
NdeI,75,100,100,100,65°C,37°C,
NgoMIV,100,50,10,100,No,37°C,1
NheI,100,25,10,100,80°C,37°C,
NlaIII,<10,<10,<10,100,65°C,37°C,
NlaIV,10,10,10,100,65°C,37°C,
NmeAIII,10,10,<10,100,65°C,37°C,c
NotI,<10,50,100,25,65°C,37°C,
NotI,25,100,25,100,65°C,37°C,
NruI,0,25,50,100,No,37°C,
NsiI,10,75,100,25,65°C,37°C,
NsiI,<10,20,<10,100,80°C,37°C,
NspI,100,100,<10,100,65°C,37°C,
Nt.AlwI,10,100,100,100,80°C,37°C,e
Nt.BbvCI,50,100,10,100,80°C,37°C,e
Nt.BsmAI,100,50,10,100,65°C,37°C,e
Nt.BspQI,<10,25,100,10,80°C,50°C,e
Nt.BstNBI,0,10,100,10,80°C,55°C,e
Nt.CviPII,10,100,25,100,65°C,37°C,e
PacI,100,75,10,100,65°C,37°C,
PaeR7I,25,100,10,100,No,37°C,
PaqCI,10,100,10,100,65°C,37°C,1
PciI,50,75,100,50*,80°C,37°C,
PflFI,25,100,25,100,65°C,37°C,b
PflMI,0,100,100,50,65°C,37°C,"3, b, d"
PI-PspI,10,10,10,10,No,65°C,
PI-SceI,10,10,10,10,65°C,37°C,
PleI,25,50,25,100,65°C,37°C,"b, d"
PluTI,100,25,<10,100,65°C,37°C,b
PmeI,<10,50,10,100,65°C,37°C,
PmlI,100,50,<10,100,65°C,37°C,
PpuMI,<10,<10,<10,100,No,37°C,
PshAI,25,50,10,100,65°C,37°C,
PsiI,25,50,10,100,65°C,37°C,3
PspGI,25,100,50,100,No,75°C,3
PspOMI,10,10,<10,100,65°C,37°C,
PspXI,<10,100,25,100,No,37°C,
PstI,75,75,100,50*,80°C,37°C,
PstI,10,75,50,100,No,37°C,
PvuI,25,100,100,100,No,37°C,
PvuII,50,100,100,100*,No,37°C,
PvuII,<10,<10,<10,100,No,37°C,
RsaI,25,50,<10,100,No,37°C,
RsrII,25,75,10,100,65°C,37°C,
