module_length,plasmid,successes,tests,success_rate
27,pET-28a(+)_start_codon,719,1000,0.719
27,pCold_I,786,1000,0.786
27,pUC18,834,1000,0.834
27,pQE-3,730,1000,0.73
28,pGEX-4T-1,769,1000,0.769
28,pMAL-c5X,744,1000,0.744
28,pET-21a(+),717,1000,0.717
28,pET-28a(+),638,1000,0.638
28,pET-28a(+)_start_codon,711,1000,0.711
28,pCold_I,800,1000,0.8
28,pUC18,862,1000,0.862
28,pQE-3,743,1000,0.743
29,pGEX-4T-1,783,1000,0.783
29,pMAL-c5X,757,1000,0.757
29,pET-21a(+),730,1000,0.73
29,pET-28a(+),660,1000,0.66
29,pET-28a(+)_start_codon,744,1000,0.744
29,pCold_I,821,1000,0.821
29,pUC18,879,1000,0.879
29,pQE-3,735,1000,0.735
30,pGEX-4T-1,798,1000,0.798
30,pMAL-c5X,754,1000,0.754
30,pET-21a(+),770,1000,0.77
30,pET-28a(+),663,1000,0.663
30,pET-28a(+)_start_codon,761,1000,0.761
30,pCold_I,826,1000,0.826
30,pUC18,881,1000,0.881
30,pQE-3,756,1000,0.756
31,pGEX-4T-1,824,1000,0.824
31,pMAL-c5X,783,1000,0.783
31,pET-21a(+),783,1000,0.783
31,pET-28a(+),695,1000,0.695
31,pET-28a(+)_start_codon,744,1000,0.744
31,pCold_I,841,1000,0.841
31,pUC18,880,1000,0.88
31,pQE-3,775,1000,0.775
32,pGEX-4T-1,831,1000,0.831
32,pMAL-c5X,772,1000,0.772
32,pET-21a(+),790,1000,0.79
32,pET-28a(+),698,1000,0.698
32,pET-28a(+)_start_codon,781,1000,0.781
32,pCold_I,860,1000,0.86
32,pUC18,890,1000,0.89
32,pQE-3,803,1000,0.803
33,pGEX-4T-1,845,1000,0.845
33,pMAL-c5X,799,1000,0.799
33,pET-21a(+),833,1000,0.833
33,pET-28a(+),738,1000,0.738
33,pET-28a(+)_start_codon,794,1000,0.794
33,pCold_I,862,1000,0.862
33,pUC18,911,1000,0.911
33,pQE-3,817,1000,0.817
34,pGEX-4T-1,876,1000,0.876
34,pMAL-c5X,821,1000,0.821
34,pET-21a(+),794,1000,0.794
34,pET-28a(+),771,1000,0.771
34,pET-28a(+)_start_codon,800,1000,0.8
34,pCold_I,890,1000,0.89
34,pUC18,914,1000,0.914
34,pQE-3,847,1000,0.847
35,pGEX-4T-1,853,1000,0.853
35,pMAL-c5X,826,1000,0.826
35,pET-21a(+),840,1000,0.84
35,pET-28a(+),786,1000,0.786
35,pET-28a(+)_start_codon,839,1000,0.839
35,pCold_I,892,1000,0.892
35,pUC18,927,1000,0.927
35,pQE-3,864,1000,0.864
36,pGEX-4T-1,886,1000,0.886
36,pMAL-c5X,832,1000,0.832
36,pET-21a(+),841,1000,0.841
36,pET-28a(+),773,1000,0.773
36,pET-28a(+)_start_codon,830,1000,0.83
36,pCold_I,904,1000,0.904
36,pUC18,932,1000,0.932
36,pQE-3,846,1000,0.846
37,pGEX-4T-1,886,1000,0.886
37,pMAL-c5X,852,1000,0.852
37,pET-21a(+),868,1000,0.868
37,pET-28a(+),777,1000,0.777
37,pET-28a(+)_start_codon,837,1000,0.837
37,pCold_I,912,1000,0.912
37,pUC18,941,1000,0.941
37,pQE-3,868,1000,0.868
38,pGEX-4T-1,917,1000,0.917
38,pMAL-c5X,861,1000,0.861
38,pET-21a(+),856,1000,0.856
38,pET-28a(+),804,1000,0.804
38,pET-28a(+)_start_codon,843,1000,0.843
38,pCold_I,928,1000,0.928
38,pUC18,941,1000,0.941
38,pQE-3,873,1000,0.873
39,pGEX-4T-1,906,1000,0.906
39,pMAL-c5X,878,1000,0.878
39,pET-21a(+),849,1000,0.849
39,pET-28a(+),814,1000,0.814
39,pET-28a(+)_start_codon,873,1000,0.873
39,pCold_I,937,1000,0.937
39,pUC18,949,1000,0.949
39,pQE-3,866,1000,0.866
40,pGEX-4T-1,930,1000,0.93
40,pMAL-c5X,890,1000,0.89
40,pET-21a(+),868,1000,0.868
40,pET-28a(+),826,1000,0.826
40,pET-28a(+)_start_codon,878,1000,0.878
40,pCold_I,915,1000,0.915
40,pUC18,945,1000,0.945
40,pQE-3,895,1000,0.895
41,pGEX-4T-1,929,1000,0.929
41,pMAL-c5X,889,1000,0.889
41,pET-21a(+),882,1000,0.882
41,pET-28a(+),823,1000,0.823
41,pET-28a(+)_start_codon,896,1000,0.896
41,pCold_I,937,1000,0.937
41,pUC18,969,1000,0.969
41,pQE-3,901,1000,0.901
42,pGEX-4T-1,935,1000,0.935
42,pMAL-c5X,920,1000,0.92
42,pET-21a(+),903,1000,0.903
42,pET-28a(+),840,1000,0.84
42,pET-28a(+)_start_codon,867,1000,0.867
42,pCold_I,940,1000,0.94
42,pUC18,958,1000,0.958
42,pQE-3,900,1000,0.9
43,pGEX-4T-1,929,1000,0.929
43,pMAL-c5X,899,1000,0.899
43,pET-21a(+),906,1000,0.906
