module_length,plasmid,success_rate,n_success,n_total,success_rate_pct
23,pET-21a(+),0.618,618,1000,61.8
23,pET-28a(+),0.553,553,1000,55.300000000000004
23,pET-28a(+)_start_codon,0.61,610,1000,61.0
23,pCold_I,0.708,708,1000,70.8
23,pUC18,0.791,791,1000,79.10000000000001
23,pQE-3,0.62,620,1000,62.0
24,pGEX-4T-1,0.688,688,1000,68.8
24,pMAL-c5X,0.627,627,1000,62.7
24,pET-21a(+),0.636,636,1000,63.6
24,pET-28a(+),0.574,574,1000,57.4
24,pET-28a(+)_start_codon,0.642,642,1000,64.2
24,pCold_I,0.733,733,1000,73.3
24,pUC18,0.796,796,1000,79.60000000000001
24,pQE-3,0.657,657,1000,65.7
25,pGEX-4T-1,0.718,718,1000,71.8
25,pMAL-c5X,0.681,681,1000,68.10000000000001
25,pET-21a(+),0.655,655,1000,65.5
25,pET-28a(+),0.603,603,1000,60.3
25,pET-28a(+)_start_codon,0.688,688,1000,68.8
25,pCold_I,0.772,772,1000,77.2
25,pUC18,0.817,817,1000,81.69999999999999
25,pQE-3,0.703,703,1000,70.3
26,pGEX-4T-1,0.725,725,1000,72.5
26,pMAL-c5X,0.704,704,1000,70.39999999999999
26,pET-21a(+),0.676,676,1000,67.60000000000001
26,pET-28a(+),0.601,601,1000,60.099999999999994
26,pET-28a(+)_start_codon,0.693,693,1000,69.3
26,pCold_I,0.767,767,1000,76.7
26,pUC18,0.831,831,1000,83.1
26,pQE-3,0.694,694,1000,69.39999999999999
27,pGEX-4T-1,0.747,747,1000,74.7
27,pMAL-c5X,0.696,696,1000,69.6
27,pET-21a(+),0.714,714,1000,71.39999999999999
27,pET-28a(+),0.623,623,1000,62.3
27,pET-28a(+)_start_codon,0.719,719,1000,71.89999999999999
27,pCold_I,0.786,786,1000,78.60000000000001
27,pUC18,0.834,834,1000,83.39999999999999
27,pQE-3,0.73,730,1000,73.0
28,pGEX-4T-1,0.769,769,1000,76.9
28,pMAL-c5X,0.744,744,1000,74.4
28,pET-21a(+),0.717,717,1000,71.7
28,pET-28a(+),0.638,638,1000,63.800000000000004
28,pET-28a(+)_start_codon,0.711,711,1000,71.1
28,pCold_I,0.8,800,1000,80.0
28,pUC18,0.862,862,1000,86.2
28,pQE-3,0.743,743,1000,74.3
29,pGEX-4T-1,0.783,783,1000,78.3
29,pMAL-c5X,0.757,757,1000,75.7
29,pET-21a(+),0.73,730,1000,73.0
29,pET-28a(+),0.66,660,1000,66.0
29,pET-28a(+)_start_codon,0.744,744,1000,74.4
29,pCold_I,0.821,821,1000,82.1
29,pUC18,0.879,879,1000,87.9
29,pQE-3,0.735,735,1000,73.5
30,pGEX-4T-1,0.798,798,1000,79.80000000000001
30,pMAL-c5X,0.754,754,1000,75.4
30,pET-21a(+),0.77,770,1000,77.0
30,pET-28a(+),0.663,663,1000,66.3
30,pET-28a(+)_start_codon,0.761,761,1000,76.1
30,pCold_I,0.826,826,1000,82.6
30,pUC18,0.881,881,1000,88.1
30,pQE-3,0.756,756,1000,75.6
31,pGEX-4T-1,0.824,824,1000,82.39999999999999
31,pMAL-c5X,0.783,783,1000,78.3
31,pET-21a(+),0.783,783,1000,78.3
31,pET-28a(+),0.695,695,1000,69.5
31,pET-28a(+)_start_codon,0.744,744,1000,74.4
31,pCold_I,0.841,841,1000,84.1
31,pUC18,0.88,880,1000,88.0
31,pQE-3,0.775,775,1000,77.5
32,pGEX-4T-1,0.831,831,1000,83.1
32,pMAL-c5X,0.772,772,1000,77.2
32,pET-21a(+),0.79,790,1000,79.0
32,pET-28a(+),0.698,698,1000,69.8
32,pET-28a(+)_start_codon,0.781,781,1000,78.10000000000001
32,pCold_I,0.86,860,1000,86.0
32,pUC18,0.89,890,1000,89.0
32,pQE-3,0.803,803,1000,80.30000000000001
33,pGEX-4T-1,0.845,845,1000,84.5
33,pMAL-c5X,0.799,799,1000,79.9
33,pET-21a(+),0.833,833,1000,83.3
33,pET-28a(+),0.738,738,1000,73.8
33,pET-28a(+)_start_codon,0.794,794,1000,79.4
33,pCold_I,0.862,862,1000,86.2
33,pUC18,0.911,911,1000,91.10000000000001
33,pQE-3,0.817,817,1000,81.69999999999999
34,pGEX-4T-1,0.876,876,1000,87.6
34,pMAL-c5X,0.821,821,1000,82.1
34,pET-21a(+),0.794,794,1000,79.4
34,pET-28a(+),0.771,771,1000,77.10000000000001
34,pET-28a(+)_start_codon,0.8,800,1000,80.0
34,pCold_I,0.89,890,1000,89.0
34,pUC18,0.914,914,1000,91.4
34,pQE-3,0.847,847,1000,84.7
35,pGEX-4T-1,0.853,853,1000,85.3
35,pMAL-c5X,0.826,826,1000,82.6
35,pET-21a(+),0.84,840,1000,84.0
35,pET-28a(+),0.786,786,1000,78.60000000000001
35,pET-28a(+)_start_codon,0.839,839,1000,83.89999999999999
35,pCold_I,0.892,892,1000,89.2
35,pUC18,0.927,927,1000,92.7
35,pQE-3,0.864,864,1000,86.4
36,pGEX-4T-1,0.886,886,1000,88.6
36,pMAL-c5X,0.832,832,1000,83.2
36,pET-21a(+),0.841,841,1000,84.1
36,pET-28a(+),0.773,773,1000,77.3
36,pET-28a(+)_start_codon,0.83,830,1000,83.0
36,pCold_I,0.904,904,1000,90.4
36,pUC18,0.932,932,1000,93.2
36,pQE-3,0.846,846,1000,84.6
37,pGEX-4T-1,0.886,886,1000,88.6
37,pMAL-c5X,0.852,852,1000,85.2
37,pET-21a(+),0.868,868,1000,86.8
37,pET-28a(+),0.777,777,1000,77.7
37,pET-28a(+)_start_codon,0.837,837,1000,83.7
37,pCold_I,0.912,912,1000,91.2
37,pUC18,0.941,941,1000,94.1
37,pQE-3,0.868,868,1000,86.8
38,pGEX-4T-1,0.917,917,1000,91.7
38,pMAL-c5X,0.861,861,1000,86.1
38,pET-21a(+),0.856,856,1000,85.6
38,pET-28a(+),0.804,804,1000,80.4
38,pET-28a(+)_start_codon,0.843,843,1000,84.3
38,pCold_I,0.928,928,1000,92.80000000000001
38,pUC18,0.941,941,1000,94.1
38,pQE-3,0.873,873,1000,87.3
39,pGEX-4T-1,0.906,906,1000,90.60000000000001
39,pMAL-c5X,0.878,878,1000,87.8
39,pET-21a(+),0.849,849,1000,84.89999999999999
39,pET-28a(+),0.814,814,1000,81.39999999999999
39,pET-28a(+)_start_codon,0.873,873,1000,87.3
39,pCold_I,0.937,937,1000,93.7
39,pUC18,0.949,949,1000,94.89999999999999
39,pQE-3,0.866,866,1000,86.6
40,pGEX-4T-1,0.93,930,1000,93.0
40,pMAL-c5X,0.89,890,1000,89.0
40,pET-21a(+),0.868,868,1000,86.8
40,pET-28a(+),0.826,826,1000,82.6
40,pET-28a(+)_start_codon,0.878,878,1000,87.8
40,pCold_I,0.915,915,1000,91.5
40,pUC18,0.945,945,1000,94.5
40,pQE-3,0.895,895,1000,89.5
41,pGEX-4T-1,0.929,929,1000,92.9
41,pMAL-c5X,0.889,889,1000,88.9
41,pET-21a(+),0.882,882,1000,88.2
41,pET-28a(+),0.823,823,1000,82.3
41,pET-28a(+)_start_codon,0.896,896,1000,89.60000000000001
41,pCold_I,0.937,937,1000,93.7
41,pUC18,0.969,969,1000,96.89999999999999
41,pQE-3,0.901,901,1000,90.10000000000001
42,pGEX-4T-1,0.935,935,1000,93.5
42,pMAL-c5X,0.92,920,1000,92.0
42,pET-21a(+),0.903,903,1000,90.3
42,pET-28a(+),0.84,840,1000,84.0
42,pET-28a(+)_start_codon,0.867,867,1000,86.7
42,pCold_I,0.94,940,1000,94.0
42,pUC18,0.958,958,1000,95.8
42,pQE-3,0.9,900,1000,90.0
43,pGEX-4T-1,0.929,929,1000,92.9
43,pMAL-c5X,0.899,899,1000,89.9
43,pET-21a(+),0.906,906,1000,90.60000000000001
43,pET-28a(+),0.851,851,1000,85.1
43,pET-28a(+)_start_codon,0.913,913,1000,91.3
43,pCold_I,0.933,933,1000,93.30000000000001
43,pUC18,0.96,960,1000,96.0
43,pQE-3,0.912,912,1000,91.2
44,pGEX-4T-1,0.942,942,1000,94.19999999999999
44,pMAL-c5X,0.901,901,1000,90.10000000000001
44,pET-21a(+),0.902,902,1000,90.2
44,pET-28a(+),0.875,875,1000,87.5
44,pET-28a(+)_start_codon,0.916,916,1000,91.60000000000001
44,pCold_I,0.958,958,1000,95.8
44,pUC18,0.98,980,1000,98.0
44,pQE-3,0.907,907,1000,90.7
45,pGEX-4T-1,0.951,951,1000,95.1
45,pMAL-c5X,0.916,916,1000,91.60000000000001
45,pET-21a(+),0.91,910,1000,91.0
45,pET-28a(+),0.866,866,1000,86.6
45,pET-28a(+)_start_codon,0.894,894,1000,89.4
45,pCold_I,0.95,950,1000,95.0
45,pUC18,0.964,964,1000,96.39999999999999
45,pQE-3,0.918,918,1000,91.8
46,pGEX-4T-1,0.95,950,1000,95.0
46,pMAL-c5X,0.921,921,1000,92.10000000000001
46,pET-21a(+),0.921,921,1000,92.10000000000001
46,pET-28a(+),0.876,876,1000,87.6
46,pET-28a(+)_start_codon,0.923,923,1000,92.30000000000001
46,pCold_I,0.952,952,1000,95.19999999999999
46,pUC18,0.973,973,1000,97.3
46,pQE-3,0.938,938,1000,93.8
47,pGEX-4T-1,0.943,943,1000,94.3
47,pMAL-c5X,0.926,926,1000,92.60000000000001
47,pET-21a(+),0.933,933,1000,93.30000000000001
47,pET-28a(+),0.887,887,1000,88.7
47,pET-28a(+)_start_codon,0.917,917,1000,91.7
47,pCold_I,0.959,959,1000,95.89999999999999
47,pUC18,0.976,976,1000,97.6
47,pQE-3,0.935,935,1000,93.5
48,pGEX-4T-1,0.96,960,1000,96.0
48,pMAL-c5X,0.925,925,1000,92.5
48,pET-21a(+),0.931,931,1000,93.10000000000001
48,pET-28a(+),0.892,892,1000,89.2
48,pET-28a(+)_start_codon,0.922,922,1000,92.2
48,pCold_I,0.96,960,1000,96.0
48,pUC18,0.977,977,1000,97.7
48,pQE-3,0.933,933,1000,93.30000000000001
49,pGEX-4T-1,0.964,964,1000,96.39999999999999
49,pMAL-c5X,0.932,932,1000,93.2
49,pET-21a(+),0.939,939,1000,93.89999999999999
49,pET-28a(+),0.888,888,1000,88.8
49,pET-28a(+)_start_codon,0.924,924,1000,92.4
49,pCold_I,0.957,957,1000,95.7
49,pUC18,0.984,984,1000,98.4
49,pQE-3,0.937,937,1000,93.7
50,pGEX-4T-1,0.961,961,1000,96.1
50,pMAL-c5X,0.921,921,1000,92.10000000000001
50,pET-21a(+),0.939,939,1000,93.89999999999999
50,pET-28a(+),0.915,915,1000,91.5
50,pET-28a(+)_start_codon,0.952,952,1000,95.19999999999999
50,pCold_I,0.944,944,1000,94.39999999999999
