Sequence_Length,Probability
4,29.7
5,36.7
6,44.2
7,51.5
8,56.3
9,59.3
10,59.8
11,69.1
12,73.9
13,73.5
14,74.8
15,79.5
16,81.69999999999999
17,81.5
18,83.5
19,84.2
20,87.3
21,89.0
22,88.5
23,89.2
24,90.2
25,91.5
26,92.60000000000001
27,92.60000000000001
28,94.3
29,94.69999999999999
30,96.2
31,95.89999999999999
32,96.3
33,96.5
34,96.3
35,97.7
36,97.2
37,96.89999999999999
38,97.2
39,98.3
40,98.0
41,98.5
42,97.8
43,99.0
44,98.6
45,99.4
46,99.1
47,99.5
48,99.2
49,99.2
50,99.8
