Sequence_Length,Probability
4,24.3
5,33.5
6,35.8
7,42.3
8,45.800000000000004
9,50.2
10,52.5
11,57.8
12,57.9
13,62.9
14,65.7
15,70.39999999999999
16,66.8
17,72.1
18,75.6
19,75.0
20,79.4
21,78.3
22,81.69999999999999
23,81.89999999999999
24,82.6
25,85.1
26,85.2
27,88.2
28,88.5
29,90.0
30,88.5
31,90.3
32,90.60000000000001
33,91.3
34,92.9
35,93.60000000000001
36,93.89999999999999
37,94.0
38,93.89999999999999
39,94.39999999999999
40,94.89999999999999
41,95.5
42,96.39999999999999
43,96.2
44,96.3
45,96.1
46,97.2
47,97.1
48,97.39999999999999
49,97.8
50,98.3
