Sequence_Length,Probability
4,26.0
5,30.3
6,36.9
7,38.800000000000004
8,44.800000000000004
9,47.199999999999996
10,56.00000000000001
11,55.2
12,59.699999999999996
13,63.5
14,67.10000000000001
15,67.30000000000001
16,70.39999999999999
17,72.8
18,75.9
19,79.4
20,78.7
21,78.60000000000001
22,82.1
23,84.1
24,84.89999999999999
25,85.39999999999999
26,86.0
27,87.1
28,88.7
29,90.8
30,89.2
31,90.5
32,89.2
33,91.3
34,92.10000000000001
35,94.1
36,92.30000000000001
37,94.69999999999999
38,95.5
39,95.3
40,96.2
41,95.7
42,95.5
43,95.7
44,96.6
45,97.8
46,97.0
47,97.8
48,98.3
49,97.8
50,97.6
