Sequence_Length,Probability
4,21.9
5,25.8
6,31.3
7,37.5
8,38.9
9,44.4
10,46.300000000000004
11,49.9
12,52.1
13,58.099999999999994
14,60.9
15,59.8
16,63.1
17,65.0
18,67.80000000000001
19,69.6
20,72.2
21,72.8
22,75.5
23,77.60000000000001
24,77.5
25,79.7
26,81.39999999999999
27,82.19999999999999
28,84.0
29,82.3
30,84.8
31,84.89999999999999
32,86.9
33,87.5
34,87.9
35,90.5
36,89.60000000000001
37,91.7
38,90.0
39,91.10000000000001
40,92.4
41,91.0
42,93.8
43,93.5
44,94.5
45,94.69999999999999
46,94.39999999999999
47,95.1
48,95.39999999999999
49,95.3
50,95.7
