Sequence_Length,Probability
4,3.4000000000000004
5,3.8
6,5.7
7,6.9
8,8.0
9,8.3
10,9.3
11,10.0
12,13.0
13,11.0
14,11.3
15,14.6
16,15.0
17,14.6
18,17.299999999999997
19,18.0
20,18.0
21,22.2
22,22.2
23,19.400000000000002
24,24.099999999999998
25,21.6
26,23.5
27,23.9
28,25.8
29,25.7
30,24.6
31,26.400000000000002
32,29.4
33,29.2
34,28.9
35,28.9
36,27.3
37,32.1
38,33.4
39,32.300000000000004
40,33.800000000000004
41,32.800000000000004
42,35.699999999999996
43,35.6
44,36.9
45,36.3
46,37.3
47,40.9
48,38.9
49,40.300000000000004
50,38.800000000000004
