Sequence_Length,Probability
4,36.9
5,43.7
6,52.1
7,59.199999999999996
8,60.5
9,65.5
10,71.2
11,73.8
12,75.4
13,76.5
14,82.8
15,83.0
16,85.2
17,86.7
18,88.0
19,91.3
20,90.7
21,92.60000000000001
22,91.8
23,93.0
24,94.0
25,95.89999999999999
26,95.5
27,96.2
28,96.89999999999999
29,97.1
30,97.0
31,96.5
32,96.8
33,97.89999999999999
34,98.8
35,98.3
36,98.3
37,98.5
38,99.1
39,99.2
40,99.5
41,99.3
42,99.1
43,98.7
44,99.7
45,99.5
46,99.8
47,99.3
48,99.8
49,99.4
50,99.3
