Sequence_Length,Probability
4,17.4
5,25.5
6,30.099999999999998
7,30.7
8,34.4
9,37.0
10,41.099999999999994
11,42.5
12,47.099999999999994
13,49.7
14,52.400000000000006
15,55.7
16,57.99999999999999
17,60.0
18,60.8
19,61.6
20,66.0
21,66.2
22,66.10000000000001
23,71.0
24,72.5
25,74.3
26,74.7
27,76.0
28,78.0
29,77.2
30,78.8
31,82.19999999999999
32,81.39999999999999
33,84.39999999999999
34,84.2
35,84.7
36,83.89999999999999
37,85.0
38,87.0
39,87.7
40,86.1
41,89.8
42,89.3
43,88.6
44,91.2
45,91.8
46,91.7
47,90.9
48,91.7
49,92.7
50,92.7
