Sequence_Length,Probability
4,31.1
5,37.5
6,47.5
7,49.8
8,55.2
9,59.3
10,67.10000000000001
11,64.8
12,69.5
13,74.7
14,76.5
15,78.60000000000001
16,79.9
17,83.7
18,83.2
19,85.7
20,86.8
21,87.3
22,89.4
23,90.7
24,92.30000000000001
25,92.80000000000001
26,93.8
27,93.89999999999999
28,95.1
29,93.30000000000001
30,95.7
31,96.1
32,96.3
33,96.1
34,97.3
35,96.3
36,97.89999999999999
37,97.2
38,97.7
39,98.6
40,97.7
41,98.5
42,98.6
43,98.9
44,98.4
45,98.8
46,99.0
47,99.2
48,99.3
49,98.9
50,99.5
