Sequence_Length,Probability
4,32.0
5,42.699999999999996
6,43.6
7,51.4
8,54.800000000000004
9,60.5
10,60.5
11,69.0
12,70.3
13,72.0
14,75.9
15,78.5
16,79.80000000000001
17,82.0
18,82.6
19,85.1
20,86.9
21,89.0
22,88.1
23,90.5
24,92.0
25,91.8
26,94.0
27,93.7
28,93.5
29,94.69999999999999
30,95.0
31,95.7
32,96.0
33,96.5
34,97.0
35,96.7
36,97.0
37,98.6
38,98.6
39,98.4
40,98.5
41,98.7
42,98.5
43,99.1
44,99.0
45,98.8
46,99.0
47,99.0
48,99.6
49,98.9
50,99.3
