Sequence_Length,Probability
4,28.9
5,31.900000000000002
6,36.8
7,41.9
8,47.4
9,48.199999999999996
10,53.0
11,55.1
12,59.599999999999994
13,63.1
14,64.5
15,70.0
16,71.0
17,73.9
18,75.4
19,76.2
20,79.0
21,79.4
22,83.0
23,82.19999999999999
24,84.39999999999999
25,84.39999999999999
26,87.3
27,87.3
28,87.1
29,88.7
30,89.5
31,90.9
32,91.2
33,92.5
34,92.0
35,93.4
36,93.8
37,95.5
38,94.69999999999999
39,95.5
40,96.5
41,95.1
42,96.2
43,97.2
44,95.7
45,96.2
46,97.2
47,98.4
48,97.3
49,98.1
50,97.6
