Sequence_Length,Probability
4,35.0
5,42.5
6,45.5
7,52.0
8,59.8
9,63.2
10,66.5
11,70.1
12,72.89999999999999
13,77.0
14,76.3
15,79.10000000000001
16,80.9
17,82.69999999999999
18,84.0
19,85.8
20,86.2
21,88.1
22,90.3
23,91.10000000000001
24,91.7
25,93.7
26,93.8
27,95.3
28,95.0
29,95.1
30,96.6
31,95.8
32,96.5
33,96.5
34,97.89999999999999
35,97.7
36,98.2
37,98.5
38,97.7
39,97.7
40,98.2
41,99.1
42,99.1
43,99.5
44,99.0
45,99.6
46,99.7
47,99.4
48,99.4
49,99.5
50,99.1
